Construct,# Replicates,First Assay Date,Last Assay Date,1FP,3FP,10FP,160FP,,Rise (1FP),Rise (3FP),Rise (10FP),Rise (160FP),,TimeToPeak (1FP),TimeToPeak (3FP),TimeToPeak (10FP),TimeToPeak (160FP),,Decay (1FP),Decay (3FP),Decay (10FP),Decay (160FP),,d-Prime1,d-Prime10,SNR (1FP),SNR (3FP),SNR (10FP),SNR (160FP),,ES50,Norm. F0,dFmax/F0,,1FP(p),3FP(p),10FP(p),160FP(p),,Rise (1FP)(p),Rise (3FP)(p),Rise (10FP)(p),Rise (160FP)(p),,TimeToPeak (1FP)(p),TimeToPeak (3FP)(p),TimeToPeak (10FP)(p),TimeToPeak (160FP)(p),,Decay (1FP)(p),Decay (3FP)(p),Decay (10FP)(p),Decay (160FP)(p),,SNR (1FP)(p),SNR (3FP)(p),SNR (10FP)(p),SNR (160FP)(p),,Norm. F0(p),dFmax/F0(p)
10.641,802,20170626,20200224,1.00000,1.00000,1.00000,1.00000,,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,,0.001214,0.021310,3.134952,8.611642,26.600098,103.880753,,56.348988,1.000000,#NUM!,,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,,0.999851,0.999131,0.997828,0.998239,,1.000000,#NUM!
10.693,434,20170626,20190819,0.74710,0.67063,0.67168,0.50574,,0.648559,0.637628,0.743909,0.648305,,0.479256,0.403309,0.428818,0.726721,,0.222568,0.269456,0.252627,0.489539,,-0.004268,0.116029,2.498214,5.640882,15.345493,36.176331,,41.494332,1.076239,#NUM!,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,#NUM!
10.921,893,20170626,20200224,1.79345,1.44190,1.04379,0.59200,,0.563183,0.620941,0.696905,0.555678,,0.512708,0.408181,0.469260,0.886506,,1.047316,0.343553,0.347530,0.711528,,0.073828,0.255118,4.742569,14.245872,36.262115,73.183640,,13.695847,1.169955,#NUM!,,0.000000,0.000000,0.505795,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.316751,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,#NUM!
10.1473,22,20200224,20200224,5.68411,3.56494,1.93669,0.65550,,0.703850,0.667861,0.660565,0.386934,,0.713683,0.554631,0.569398,0.433293,,2.656192,0.748977,0.958022,#NUM!,,-0.271893,-0.248836,19.068382,61.518051,134.598358,188.403046,,5.048343,0.822982,#NUM!,,0.000000,0.000000,0.000000,0.000578,,0.000077,0.000000,0.000000,0.000000,,0.000021,0.000000,0.000000,0.000000,,0.000000,0.000000,0.169100,#NUM!,,0.000000,0.000000,0.000000,0.000000,,0.000090,#NUM!
10.1513,12,20200224,20200224,1.99792,1.69887,2.03419,2.63548,,0.630619,0.712322,0.861585,1.262830,,0.807190,0.670702,0.697550,1.079067,,1.501293,0.592718,0.512742,0.975523,,-0.470120,-1.220431,7.303237,30.807503,116.740349,564.018799,,64.658606,0.534909,#NUM!,,0.000048,0.000324,0.000108,0.000001,,0.000412,0.000000,0.000000,0.001243,,0.017149,0.000005,0.000004,0.085225,,0.063989,0.000000,0.000000,0.735140,,0.000000,0.000000,0.000000,0.000000,,0.000282,#NUM!
10.1561,12,20200224,20200224,5.23748,3.03119,1.47237,0.46290,,0.961864,0.800163,0.699029,0.376336,,0.865929,0.589596,0.598635,0.442832,,2.204449,0.567342,0.644417,1.181854,,-0.008769,-0.151375,22.017857,67.609634,131.333817,171.846451,,3.896721,1.738915,#NUM!,,0.000000,0.000000,0.005605,0.000047,,0.798399,0.000004,0.000000,0.000000,,0.181396,0.000000,0.000000,0.000001,,0.000104,0.000000,0.000000,0.176617,,0.000000,0.000000,0.000000,0.000000,,0.000006,#NUM!
376.13,3,20180813,20180813,0.06632,0.02636,0.02182,0.00470,,0.491298,2.197570,3.994701,6.885666,,0.132357,1.149316,1.780931,1.891750,,0.031532,0.005527,0.004239,0.001698,,-0.066206,0.042059,1.243945,1.995661,1.797276,2.411695,,5.025405,1.077639,#NUM!,,0.003266,0.002778,0.002778,0.002778,,0.056935,0.002893,0.002778,0.002823,,0.002893,0.593629,0.003240,0.015136,,0.020593,0.002823,0.002823,0.002801,,0.000000,0.000000,0.000000,0.000000,,0.021467,#NUM!
410.1,14,20170626,20170710,0.98875,0.81307,0.76942,0.57908,,1.578215,1.479429,1.210215,1.279914,,1.312131,1.720213,1.696074,1.211579,,0.062661,1.281188,1.661619,1.099938,,-0.183489,1.814525,2.275842,4.192167,8.396636,31.342974,,41.465310,0.625346,#NUM!,,0.980382,0.275971,0.007405,0.000909,,0.001579,0.000001,0.000000,0.000245,,0.118070,0.000000,0.000000,0.000150,,0.000000,0.000002,0.000000,0.453588,,0.000000,0.000000,0.000000,0.000000,,0.000023,#NUM!
410.3,8,20170626,20170626,1.71789,1.10399,0.95276,1.01929,,0.708133,0.808974,0.946316,1.369714,,0.720531,0.876048,0.936128,1.229373,,2.073361,0.896363,0.792941,0.867624,,1.237809,3.225044,3.978088,9.422537,25.452099,115.729340,,58.870493,1.596586,#NUM!,,0.001799,0.256306,0.928003,0.364209,,0.093185,0.001189,0.012247,0.001195,,0.021365,0.036110,0.149323,0.000295,,0.007747,0.033183,0.000021,0.048795,,0.000000,0.022025,0.445925,0.107264,,0.001042,#NUM!
410.4,8,20170626,20170626,0.20782,0.14865,0.12576,0.32754,,0.845962,1.990037,1.582420,3.090796,,0.971816,1.270832,1.328631,1.454925,,0.070085,0.369919,0.554814,0.812335,,-0.243109,1.395803,1.997796,2.939001,4.242097,39.382584,,76.095000,2.788292,#NUM!,,0.000001,0.000001,0.000001,0.000020,,0.738880,0.000002,0.000001,0.000001,,0.825125,0.042240,0.000562,0.000002,,0.000037,0.000002,0.000001,0.003512,,0.000000,0.000000,0.000000,0.000000,,0.000248,#NUM!
