Construct,# Replicates,First Assay Date,Last Assay Date,1FP,3FP,10FP,160FP,,Rise (1FP),Rise (3FP),Rise (10FP),Rise (160FP),,TimeToPeak (1FP),TimeToPeak (3FP),TimeToPeak (10FP),TimeToPeak (160FP),,Decay (1FP),Decay (3FP),Decay (10FP),Decay (160FP),,d-Prime1,d-Prime10,SNR (1FP),SNR (3FP),SNR (10FP),SNR (160FP),,ES50,Norm. F0,dFmax/F0,,1FP(p),3FP(p),10FP(p),160FP(p),,Rise (1FP)(p),Rise (3FP)(p),Rise (10FP)(p),Rise (160FP)(p),,TimeToPeak (1FP)(p),TimeToPeak (3FP)(p),TimeToPeak (10FP)(p),TimeToPeak (160FP)(p),,Decay (1FP)(p),Decay (3FP)(p),Decay (10FP)(p),Decay (160FP)(p),,SNR (1FP)(p),SNR (3FP)(p),SNR (10FP)(p),SNR (160FP)(p),,Norm. F0(p),dFmax/F0(p)
10.641,842,20170626,20200224,1.02,1.00,1.01,1.01,,1.00,0.99,1.00,1.00,,1.01,1.00,1.00,1.00,,1.04,1.00,1.00,1.00,,0.001588968,0.021677624,3.16,8.74,27.09,106.60,,56.41985067,1.000000000,#NUM!,,0.588874007,0.846018721,0.651876467,0.574702313,,0.897496709,0.820394735,0.793283039,0.735356295,,0.686810022,0.751399911,0.782323629,0.911913188,,0.273979989,0.911913191,0.954451311,0.888710258,,0.997855425,0.990339041,0.986471295,0.993987322,,0.958075941,#NUM!
10.693,498,20170626,20191007,0.72,0.73,0.70,0.50,,0.59,0.62,0.74,0.64,,0.42,0.41,0.43,0.72,,0.19,0.28,0.25,0.49,,-0.002599426,0.122258112,2.53,5.77,15.85,37.77,,38.83484617,1.073965788,#NUM!,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,#NUM!
10.921,948,20170626,20200224,1.70,1.51,1.07,0.58,,0.53,0.61,0.70,0.54,,0.43,0.42,0.47,0.88,,0.38,0.34,0.36,0.72,,0.07644663,0.257090092,4.78,14.38,36.64,74.28,,9.886923943,1.164693356,#NUM!,,0.000000000,0.000000000,0.046235666,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,#NUM!
10.1473,22,20200224,20200224,4.89,3.47,1.91,0.64,,0.66,0.65,0.66,0.39,,0.57,0.53,0.57,0.43,,0.80,0.66,0.96,#NUM!,,-0.271893263,-0.248836234,19.07,61.52,134.60,188.40,,5.199378532,0.822982311,#NUM!,,0.000000000,0.000000000,0.000000002,0.000676788,,0.000000665,0.000000000,0.000000000,0.000000000,,0.000000002,0.000000000,0.000000000,0.000000000,,0.218951126,0.000000000,0.113590760,#NUM!,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000089752,#NUM!
10.1513,12,20200224,20200224,1.83,1.68,2.01,2.58,,0.62,0.70,0.86,1.26,,0.70,0.66,0.69,1.08,,0.70,0.55,0.51,0.97,,-0.470119566,-1.220431209,7.30,30.81,116.74,564.02,,64.65860567,0.534909368,#NUM!,,0.000099967,0.000666241,0.000123177,0.000000608,,0.000086165,0.000000051,0.000000178,0.001522674,,0.000788548,0.000002935,0.000003426,0.090095415,,0.170492303,0.000000011,0.000000003,0.694009611,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000281641,#NUM!
10.1561,12,20200224,20200224,4.58,2.94,1.45,0.45,,0.90,0.79,0.70,0.37,,0.71,0.58,0.60,0.44,,0.63,0.50,0.64,1.19,,-0.008768906,-0.151375398,22.02,67.61,131.33,171.85,,4.145451962,1.738914728,#NUM!,,0.000000005,0.000000027,0.007532434,0.000065677,,0.281202601,0.000002105,0.000000003,0.000000003,,0.001394407,0.000000024,0.000000004,0.000000906,,0.162683754,0.000000005,0.000000005,0.156272137,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000005755,#NUM!
376.13,3,20180813,20180813,0.06,0.03,0.02,0.00,,0.45,2.09,3.98,6.85,,0.11,1.14,1.77,1.89,,0.01,0.01,0.00,0.00,,-0.066206276,0.042058703,1.24,2.00,1.80,2.41,,5.025405015,1.077638626,#NUM!,,0.003130682,0.002772842,0.002772842,0.002772842,,0.035856867,0.003250853,0.002772842,0.002815432,,0.002836944,0.605238814,0.003178252,0.015165115,,0.019524388,0.002815432,0.002815432,0.002799480,,0.000000000,0.000000000,0.000000000,0.000000000,,0.021467183,#NUM!
410.1,14,20170626,20170710,1.20,0.72,0.76,0.57,,1.66,1.47,1.21,1.27,,1.90,1.70,1.69,1.21,,0.46,1.20,1.80,1.24,,-0.183489323,1.81452477,2.28,4.19,8.40,31.34,,41.46530985,0.625346422,#NUM!,,0.150496666,0.019811506,0.006991645,0.000977284,,0.000001177,0.000000911,0.000000012,0.000322084,,0.000086113,0.000000358,0.000000002,0.000149574,,0.263298092,0.000008570,0.000000000,0.192286992,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000023341,#NUM!
410.3,8,20170626,20170626,1.46,1.09,0.94,1.00,,0.67,0.79,0.94,1.36,,0.68,0.87,0.93,1.23,,1.08,0.88,0.83,0.87,,1.237809062,3.225043535,3.98,9.42,25.45,115.73,,58.87049302,1.596585512,#NUM!,,0.009452393,0.334034601,0.889756746,0.446477986,,0.049034603,0.000425745,0.010433423,0.001446375,,0.034575051,0.026375620,0.128036880,0.000314321,,0.521874490,0.006007691,0.000109259,0.046895322,,0.000000000,0.052349042,0.284321785,0.221046731,,0.001041955,#NUM!
410.4,8,20170626,20170626,0.28,0.15,0.12,0.32,,1.77,1.98,1.58,3.08,,1.86,1.26,1.32,1.46,,0.48,0.59,0.60,0.83,,-0.243108824,1.395803094,2.00,2.94,4.24,39.38,,76.09500042,2.788291931,#NUM!,,0.000006015,0.000001307,0.000001252,0.000023800,,0.050190244,0.000003170,0.000001191,0.000001244,,0.000115807,0.041554684,0.000751547,0.000001800,,0.226615479,0.000008287,0.000001244,0.005393718,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000247624,#NUM!
