Construct,# Replicates,First Assay Date,Last Assay Date,1FP,3FP,10FP,160FP,,Rise (1FP),Rise (3FP),Rise (10FP),Rise (160FP),,TimeToPeak (1FP),TimeToPeak (3FP),TimeToPeak (10FP),TimeToPeak (160FP),,Decay (1FP),Decay (3FP),Decay (10FP),Decay (160FP),,d-Prime1,d-Prime10,SNR (1FP),SNR (3FP),SNR (10FP),SNR (160FP),,ES50,Norm. F0,dFmax/F0,,1FP(p),3FP(p),10FP(p),160FP(p),,Rise (1FP)(p),Rise (3FP)(p),Rise (10FP)(p),Rise (160FP)(p),,TimeToPeak (1FP)(p),TimeToPeak (3FP)(p),TimeToPeak (10FP)(p),TimeToPeak (160FP)(p),,Decay (1FP)(p),Decay (3FP)(p),Decay (10FP)(p),Decay (160FP)(p),,SNR (1FP)(p),SNR (3FP)(p),SNR (10FP)(p),SNR (160FP)(p),,Norm. F0(p),dFmax/F0(p)
10.641,861,20170626,20200224,0.58,0.66,0.93,1.72,,1.88,1.64,1.44,1.85,,2.31,2.40,2.11,1.15,,2.58,2.94,2.80,1.39,,0.001591358,0.021678539,3.16,8.74,27.09,106.63,,56.50706166,0.862211227,#NUM!,,0.000000000,0.000000000,0.021359823,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,#NUM!
10.693,504,20170626,20191007,0.42,0.49,0.66,0.87,,1.10,1.02,1.07,1.18,,0.97,0.98,0.91,0.82,,0.51,0.83,0.71,0.69,,-0.002599171,0.122320078,2.53,5.77,15.86,37.79,,38.53312717,0.914644003,#NUM!,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000003720,0.022296390,0.000000000,0.000000000,,0.339067824,0.012601809,0.000000000,0.000000005,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,#NUM!
10.921,935,20170626,20200224,0.95,0.95,0.97,1.02,,0.99,0.98,1.00,1.05,,0.99,0.98,0.99,1.03,,0.99,0.99,0.99,1.00,,0.076414794,0.257075906,4.78,14.38,36.65,74.25,,14.22855154,1.004363775,#NUM!,,0.037977243,0.013436689,0.133528870,0.267854530,,0.526653788,0.061668950,0.825900170,0.009501474,,0.638664406,0.180785620,0.142074251,0.110711170,,0.442582274,0.426227938,0.722480565,0.953383088,,0.996100426,0.997883260,0.985741615,0.984647632,,0.352020741,#NUM!
10.1473,22,20200224,20200224,2.86,2.29,1.79,1.11,,1.25,1.06,0.95,0.71,,1.32,1.27,1.20,0.50,,2.06,1.93,2.69,#NUM!,,-0.271893263,-0.248836234,19.07,61.52,134.60,188.40,,5.199378532,0.576881528,#NUM!,,0.000000000,0.000000000,0.000000000,0.082937355,,0.000000045,0.006088181,0.000569135,0.000000001,,0.000000118,0.000000214,0.000000914,0.000000031,,0.000000000,0.000000000,0.000000000,#NUM!,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000005146,#NUM!
10.1513,12,20200224,20200224,1.07,1.11,1.88,4.47,,1.17,1.15,1.23,2.32,,1.62,1.59,1.47,1.24,,1.82,1.61,1.42,1.35,,-0.470119566,-1.220431209,7.30,30.81,116.74,564.02,,64.65860567,0.374952555,#NUM!,,0.335836530,0.194756590,0.000008433,0.000000621,,0.021668080,0.000729764,0.000000049,0.000000014,,0.000003233,0.000000188,0.000000021,0.002764686,,0.000017707,0.000000451,0.000043057,0.006486143,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000246206,#NUM!
10.1561,12,20200224,20200224,2.68,1.94,1.36,0.79,,1.70,1.29,1.00,0.69,,1.65,1.40,1.26,0.51,,1.64,1.46,1.80,1.65,,-0.008768906,-0.151375398,22.02,67.61,131.33,171.85,,4.145451962,1.218917847,#NUM!,,0.000000032,0.000000508,0.001630112,0.000861649,,0.000000023,0.000000081,0.819487892,0.000000692,,0.000000177,0.000000632,0.000017052,0.000031478,,0.000001649,0.000004761,0.000000985,0.031141475,,0.000000000,0.000000000,0.000000000,0.000000000,,0.046386600,#NUM!
376.13,3,20180813,20180813,0.03,0.02,0.02,0.01,,0.84,3.42,5.72,12.66,,0.25,2.73,3.74,2.17,,0.02,0.02,0.01,0.00,,-0.066206276,0.042058703,1.24,2.00,1.80,2.41,,5.025405015,0.923736930,#NUM!,,0.002842588,0.002823150,0.002823150,0.002784639,,0.477046988,0.002784639,0.002765564,0.002803835,,0.002823136,0.003002524,0.002765551,0.007549746,,0.014511362,0.002803835,0.002823150,0.002775148,,0.000000000,0.000000000,0.000000000,0.000000000,,0.185615078,#NUM!
410.1,14,20170626,20170710,0.70,0.48,0.71,0.98,,3.12,2.40,1.73,2.35,,4.39,4.09,3.56,1.39,,1.18,3.51,5.05,1.73,,-0.183489323,1.81452477,2.28,4.19,8.40,31.34,,41.46530985,0.471648008,#NUM!,,0.000277662,0.000000172,0.000125934,0.782721373,,0.000000000,0.000000000,0.000000000,0.000000001,,0.000000003,0.000000000,0.000000000,0.000000950,,0.514085823,0.000000000,0.000000000,0.104418755,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000016,#NUM!
410.3,8,20170626,20170626,0.85,0.72,0.88,1.73,,1.26,1.30,1.35,2.52,,1.57,2.08,1.97,1.41,,2.79,2.57,2.32,1.21,,1.237809062,3.225043535,3.98,9.42,25.45,115.73,,58.87049302,1.092451334,#NUM!,,0.315239279,0.028527666,0.466968314,0.000017295,,0.000257133,0.000008545,0.000001829,0.000002638,,0.000126477,0.000001599,0.000001443,0.000010397,,0.000001453,0.000001122,0.000003905,0.029654982,,0.000000003,0.000000000,0.000000000,0.000000000,,0.481468320,#NUM!
410.4,8,20170626,20170626,0.16,0.10,0.12,0.56,,3.34,3.24,2.26,5.68,,4.29,3.02,2.79,1.67,,1.24,1.75,1.68,1.15,,-0.243108824,1.395803094,2.00,2.94,4.24,39.38,,76.09500042,1.907867193,#NUM!,,0.000001345,0.000001182,0.000001159,0.000021766,,0.000110388,0.000001122,0.000001086,0.000001205,,0.000001137,0.000001115,0.000001093,0.000001453,,0.453729910,0.000014787,0.000278477,0.138918647,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000096104,#NUM!
